Session,Date,Speaker,Age,Record #,Group #,Tier,Range,Result,Orthography,IPA Target,IPA Actual,Exact Match,IPA Target CV,IPA Actual CV,CV Match,IPA Target Syllable Count,IPA Actual Syllable Count,Syllable Count Match
Naima.030000,14/03/2004,Naima,03;00.00,2,1,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..3),no ↔ ˈnoʊ; ˈno,no,noʊ,no,FALSE,CVV,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,16,1,Orthography ↔ IPA Target; IPA Actual,(0..1) ↔ (0..3); (0..2),I ↔ ˈaɪ; ˈæ,I,aɪ,æ,FALSE,VV,V,FALSE,2,1,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,16,2,Orthography ↔ IPA Target; IPA Actual,(0..5) ↔ (0..6); (0..2),don't ↔ ˈdoʊnt; nə,don't,doʊnt,nə,FALSE,CVVCC,CV,FALSE,5,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,16,3,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..5); (0..4),want ↔ ˈwɑnt; ˈwɑn,want,wɑnt,wɑn,FALSE,GVCC,GVC,FALSE,4,3,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,16,4,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..2); (0..2),the ↔ ðə; dɪ,the,ðə,dɪ,FALSE,CV,CV,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,16,5,Orthography ↔ IPA Target; IPA Actual,(0..9) ↔ (0..12); (0..5),fireflies ↔ ˈfaɪəɹˌflaɪz; ˈfaɪə,fireflies,faɪəɹflaɪz,faɪə,FALSE,CVVVCCCVVC,CVVV,FALSE,10,4,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,20,1,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..3),not ↔ ˈnɑt; ˈnɑ,not,nɑt,nɑ,FALSE,CVC,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,20,2,Orthography ↔ IPA Target; IPA Actual,(0..9) ↔ (0..10); (0..5),underwear ↔ ˈʌndəɹˌwɛɹ; ˈʌndə,underwear,ʌndəɹwɛɹ,ʌndə,FALSE,VCCVCGVC,VCCV,FALSE,8,4,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,20,3,Orthography ↔ IPA Target; IPA Actual,(0..1) ↔ (0..1); (0..1),a ↔ ə; ə,a,ə,ə,TRUE,V,V,TRUE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,20,4,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..7); (0..7),diaper ↔ ˈdaɪpəɹ; ˈdaɪbʊː,diaper,daɪpəɹ,daɪbʊ,FALSE,CVVCVC,CVVCV,FALSE,6,5,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,24,1,Orthography ↔ IPA Target; IPA Actual,(2..6) ↔ (0..5); (0..5),mama ↔ ˈmɑmə; ˈmɑmə,mama,mɑmə,mɑmə,TRUE,CVCV,CVCV,TRUE,4,4,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,24,2,Orthography ↔ IPA Target; IPA Actual,(2..5) ↔ (0..4); (0..2),and ↔ ˈænd; ɛd,and,ænd,ɛd,FALSE,VCC,VC,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,24,3,Orthography ↔ IPA Target; IPA Actual,(2..5) ↔ (0..3); (0..1),her ↔ həɹ; ə,her,həɹ,ə,FALSE,CVC,V,FALSE,3,1,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,24,4,Orthography ↔ IPA Target; IPA Actual,(2..6) ↔ (0..7); (0..6),baby ↔ ˈbeɪbiː; ˈbeɪbə,baby,beɪbi,beɪbə,FALSE,CVVCV,CVVCV,TRUE,5,5,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,24,5,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..5),yyy ↔ *; əˈwɪu,yyy,*,əwɪu,FALSE,*,VGVV,FALSE,1,4,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,24,6,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..4),yyy ↔ *; ˈwɪu,yyy,*,wɪu,FALSE,*,GVV,FALSE,1,3,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,24,7,Orthography ↔ IPA Target; IPA Actual,(2..6) ↔ (0..5); (0..5),want ↔ ˈwɑnt; ˈwɑ̃ː,want,wɑnt,wɑ,FALSE,GVCC,GV,FALSE,4,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,24,8,Orthography ↔ IPA Target; IPA Actual,(2..8) ↔ (0..7); (0..6),diaper ↔ ˈdaɪpəɹ; ˈdaɪbə,diaper,daɪpəɹ,daɪbə,FALSE,CVVCVC,CVVCV,FALSE,6,5,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,24,9,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..3),not ↔ ˈnɑt; ˈnɑ,not,nɑt,nɑ,FALSE,CVC,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,24,10,Orthography ↔ IPA Target; IPA Actual,(0..9) ↔ (0..12); (0..8),fireflies ↔ ˈfaɪəɹˌflaɪz; ˈfaɪəfaɪ,fireflies,faɪəɹflaɪz,faɪəfaɪ,FALSE,CVVVCCCVVC,CVVVCVV,FALSE,10,7,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,26,1,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..5); (0..4),take ↔ ˈteɪk; ˈteɪ,take,teɪk,teɪ,FALSE,CVVC,CVV,FALSE,4,3,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,26,2,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..4); (0..3),them ↔ ˈðɛm; ðəm,them,ðɛm,ðəm,FALSE,CVC,CVC,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,26,3,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..3); (0..4),off ↔ ˈɑf; ˈɑkʰ,off,ɑf,ɑk,FALSE,VC,VC,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,26,4,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..4),get ↔ ˈɡɛt; ˈɡɛɾ,get,gɛt,gɛɾ,FALSE,CVC,CVC,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,26,5,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..5); (0..4),away ↔ əˈweɪ; əweɪ,away,əweɪ,əweɪ,TRUE,VGVV,VGVV,TRUE,4,4,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,26,6,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..4),get ↔ ˈɡɛt; ˈɡɛɾ,get,gɛt,gɛɾ,FALSE,CVC,CVC,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,26,7,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..5); (0..3),away ↔ əˈweɪ; əwɪ,away,əweɪ,əwɪ,FALSE,VGVV,VGV,FALSE,4,3,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,26,8,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..3),yyy ↔ *; ˈno,yyy,*,no,FALSE,*,CV,FALSE,1,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,26,9,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..4),yyy ↔ *; ˈɡʰɪ,yyy,*,gɪ,FALSE,*,CV,FALSE,1,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,26,10,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..2),yyy ↔ *; ˈʊ,yyy,*,ʊ,FALSE,*,V,FALSE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,26,11,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..8),yyy ↔ *; ˈdopʊθəm,yyy,*,dopʊθəm,FALSE,*,CVCVCVC,FALSE,1,7,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,26,12,Orthography ↔ IPA Target; IPA Actual,(2..5) ↔ (0..3); (0..4),off ↔ ˈɑf; ˈɑːf,off,ɑf,ɑf,TRUE,VC,VC,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,27,1,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..4); (0..2),they ↔ ˈðeɪ; θæ,they,ðeɪ,θæ,FALSE,CVV,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,27,3,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..3),not ↔ ˈnɑt; ˈnɑ,not,nɑt,nɑ,FALSE,CVC,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,27,4,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..4); (0..3),what ↔ ˈwʌt; wəɾ,what,wʌt,wəɾ,FALSE,GVC,GVC,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,27,5,Orthography ↔ IPA Target; IPA Actual,(0..1) ↔ (0..3); (0..2),I ↔ ˈaɪ; aɪ,I,aɪ,aɪ,TRUE,VV,VV,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,27,6,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..7); (0..7),wanted ↔ ˈwɑntəd; ˈwæ̃dɪʰ,wanted,wɑntəd,wædɪ,FALSE,GVCCVC,GVCV,FALSE,6,4,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,29,1,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..5); (0..5),Mama ↔ ˈmɑmə; ˈmɑmə,Mama,mɑmə,mɑmə,TRUE,CVCV,CVCV,TRUE,4,4,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,29,2,Orthography ↔ IPA Target; IPA Actual,(0..1) ↔ (0..3); (0..1),I ↔ ˈaɪ; ə,I,aɪ,ə,FALSE,VV,V,FALSE,2,1,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,29,3,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..5); (0..4),want ↔ ˈwɑnt; ˈwɑn,want,wɑnt,wɑn,FALSE,GVCC,GVC,FALSE,4,3,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,29,4,Orthography ↔ IPA Target; IPA Actual,(0..1) ↔ (0..1); (0..1),a ↔ ə; ə,a,ə,ə,TRUE,V,V,TRUE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,29,5,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..7); (0..6),diaper ↔ ˈdaɪpəɹ; ˈdaɪwə,diaper,daɪpəɹ,daɪwə,FALSE,CVVCVC,CVVGV,FALSE,6,5,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,33,1,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..2); (0..2),the ↔ ðə; ðə,the,ðə,ðə,TRUE,CV,CV,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,33,2,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..4); (0..4),ba<by> ↔ ˈbeɪ; ˈbeɪ,ba<by>,beɪ,beɪ,TRUE,CVV,CVV,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,33,3,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..2); (0..2),the ↔ ðə; ðə,the,ðə,ðə,TRUE,CV,CV,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,33,4,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..7); (0..6),baby ↔ ˈbeɪbiː; ˈbeɪbi,baby,beɪbi,beɪbi,TRUE,CVVCV,CVVCV,TRUE,5,5,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,33,5,Orthography ↔ IPA Target; IPA Actual,(0..5) ↔ (0..5); (0..4),can't ↔ ˈkænt; ˈkæ̃,can't,kænt,kæ,FALSE,CVCC,CV,FALSE,4,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,33,6,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..5),yyy ↔ *; ˈwɑ̃ː,yyy,*,wɑ,FALSE,*,GV,FALSE,1,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,34,1,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..5); (0..3),Mama ↔ ˈmɑmə; ˈmɑ,Mama,mɑmə,mɑ,FALSE,CVCV,CV,FALSE,4,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,34,2,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..4),no: ↔ ˈnoʊ; ˈnoː,no:,noʊ,no,FALSE,CVV,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,34,2,Orthography ↔ IPA Target; IPA Actual,(4..7) ↔ (5..8); (5..8),(.) ↔ (.); (.),(.),(.),(.),TRUE,(.),(.),TRUE,0,0,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,34,3,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..3); (0..2),Ma ↔ ˈmɑ; ˈɑ,Ma,mɑ,ɑ,FALSE,CV,V,FALSE,2,1,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,34,4,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..3); (0..3),Ma ↔ ˈmɑ; ˈbɑ,Ma,mɑ,bɑ,FALSE,CV,CV,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,34,5,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..3); (0..3),Ma ↔ ˈmɑ; ˈwɑ,Ma,mɑ,wɑ,FALSE,CV,GV,FALSE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,36,1,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..8),yyy ↔ *; ɡɪˈaʊəvɪ,yyy,*,gɪaʊəvɪ,FALSE,*,CVVVVCV,FALSE,1,7,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,37,1,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..3),yyy ↔ *; ˈɑː,yyy,*,ɑ,FALSE,*,V,FALSE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,39,1,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..3),no ↔ ˈnoʊ; ˈno,no,noʊ,no,FALSE,CVV,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,39,2,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..3),no ↔ ˈnoʊ; ˈno,no,noʊ,no,FALSE,CVV,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,39,3,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..4),yyy ↔ *; ˈʊŋɪ,yyy,*,ʊŋɪ,FALSE,*,VCV,FALSE,1,3,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,41,1,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..1),xxx ↔ *; *,xxx,*,*,TRUE,*,*,TRUE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,41,2,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..3),no ↔ ˈnoʊ; ˈnʌ,no,noʊ,nʌ,FALSE,CVV,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,41,3,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..4); (0..3),it's ↔ ˈɪts; ˈɪt,it's,ɪts,ɪt,FALSE,VCC,VC,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,41,4,Orthography ↔ IPA Target; IPA Actual,(0..1) ↔ (0..1); (0..1),a ↔ ə; ə,a,ə,ə,TRUE,V,V,TRUE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,41,5,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..6); (0..5),little ↔ ˈlɪtəl; ˈlɪl̩,little,lɪtəl,lɪl,FALSE,CVCVC,CVC,FALSE,5,3,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,41,6,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..7); (0..6),tiny ↔ ˈtaɪniː; ˈtaɪni,tiny,taɪni,taɪni,TRUE,CVVCV,CVVCV,TRUE,5,5,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,41,7,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..7); (0..6),baby ↔ ˈbeɪbiː; ˈbeɪbi,baby,beɪbi,beɪbi,TRUE,CVVCV,CVVCV,TRUE,5,5,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,41,8,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..9),yyy ↔ *; dæˈkjaʊ̃s,yyy,*,dækjaʊs,FALSE,*,CVCGVVC,FALSE,1,7,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,41,9,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..1),xxx ↔ *; *,xxx,*,*,TRUE,*,*,TRUE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,43,1,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..6),no ↔ ˈnoʊ; ˈnːaʊ̃,no,noʊ,naʊ,FALSE,CVV,CVV,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,43,2,Orthography ↔ IPA Target; IPA Actual,(0..5) ↔ (0..6); (0..3),don't ↔ ˈdoʊnt; ˈdo,don't,doʊnt,do,FALSE,CVVCC,CV,FALSE,5,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,43,3,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..4); (0..3),come ↔ ˈkʌm; kəm,come,kʌm,kəm,FALSE,CVC,CVC,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,43,4,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..3); (0..3),in ↔ ˈɪn; ˈɪː,in,ɪn,ɪ,FALSE,VC,V,FALSE,2,1,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,43,5,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..8); (0..6),Sleepy ↔ ˈsliːpiː; ˈslibi,Sleepy,slipi,slibi,FALSE,CCVCV,CCVCV,TRUE,5,5,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,43,6,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..4); (0..2),Bear ↔ ˈbɛɹ; bʊ,Bear,bɛɹ,bʊ,FALSE,CVC,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,43,7,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..4); (0..4),says ↔ ˈsɛz; ˈsɪz,says,sɛz,sɪz,FALSE,CVC,CVC,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,43,8,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..4); (0..2),you're ↔ ˈjɔɹ; ju,you're,jɔɹ,ju,FALSE,GVC,GV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,43,9,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..4),not ↔ ˈnɑt; ˈnɑɾ,not,nɑt,nɑɾ,FALSE,CVC,CVC,TRUE,3,3,TRUE
